"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","CPI","TOT","IDX2015","M","2000-01",99.1601,
"JPN","CPI","TOT","IDX2015","M","2000-02",98.85467,
"JPN","CPI","TOT","IDX2015","M","2000-03",99.05828,
"JPN","CPI","TOT","IDX2015","M","2000-04",99.2619,
"JPN","CPI","TOT","IDX2015","M","2000-05",99.36371,
"JPN","CPI","TOT","IDX2015","M","2000-06",99.1601,
"JPN","CPI","TOT","IDX2015","M","2000-07",98.85467,
"JPN","CPI","TOT","IDX2015","M","2000-08",99.1601,
"JPN","CPI","TOT","IDX2015","M","2000-09",99.05828,
"JPN","CPI","TOT","IDX2015","M","2000-10",99.05828,
"JPN","CPI","TOT","IDX2015","M","2000-11",98.75286,
"JPN","CPI","TOT","IDX2015","M","2000-12",98.85467,
"JPN","CPI","TOT","IDX2015","M","2001-01",98.85467,
"JPN","CPI","TOT","IDX2015","M","2001-02",98.54925,
"JPN","CPI","TOT","IDX2015","M","2001-03",98.44744,
"JPN","CPI","TOT","IDX2015","M","2001-04",98.54925,
"JPN","CPI","TOT","IDX2015","M","2001-05",98.65105,
"JPN","CPI","TOT","IDX2015","M","2001-06",98.44744,
"JPN","CPI","TOT","IDX2015","M","2001-07",98.14202,
"JPN","CPI","TOT","IDX2015","M","2001-08",98.44744,
"JPN","CPI","TOT","IDX2015","M","2001-09",98.34563,
"JPN","CPI","TOT","IDX2015","M","2001-10",98.34563,
"JPN","CPI","TOT","IDX2015","M","2001-11",97.8366,
"JPN","CPI","TOT","IDX2015","M","2001-12",97.73479,
"JPN","CPI","TOT","IDX2015","M","2002-01",97.53118,
"JPN","CPI","TOT","IDX2015","M","2002-02",97.02214,
"JPN","CPI","TOT","IDX2015","M","2002-03",97.22575,
"JPN","CPI","TOT","IDX2015","M","2002-04",97.53118,
"JPN","CPI","TOT","IDX2015","M","2002-05",97.8366,
"JPN","CPI","TOT","IDX2015","M","2002-06",97.73479,
