"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","CPI","TOT","AGRWTH","Q","2000-Q1",-0.6666667,
"JPN","CPI","TOT","AGRWTH","Q","2000-Q2",-0.7333333,
"JPN","CPI","TOT","AGRWTH","Q","2000-Q3",-0.7,
"JPN","CPI","TOT","AGRWTH","Q","2000-Q4",-0.5333334,
"JPN","CPI","TOT","AGRWTH","Q","2001-Q1",-0.4333333,
"JPN","CPI","TOT","AGRWTH","Q","2001-Q2",-0.7333333,
"JPN","CPI","TOT","AGRWTH","Q","2001-Q3",-0.7666667,
"JPN","CPI","TOT","AGRWTH","Q","2001-Q4",-1,
"JPN","CPI","TOT","AGRWTH","Q","2002-Q1",-1.4,
"JPN","CPI","TOT","AGRWTH","Q","2002-Q2",-0.9,
"JPN","CPI","TOT","AGRWTH","Q","2002-Q3",-0.8,
"JPN","CPI","TOT","AGRWTH","Q","2002-Q4",-0.5333334,
"JPN","CPI","TOT","AGRWTH","Q","2003-Q1",-0.2333333,
"JPN","CPI","TOT","AGRWTH","Q","2003-Q2",-0.2333333,
"JPN","CPI","TOT","AGRWTH","Q","2003-Q3",-0.2333333,
"JPN","CPI","TOT","AGRWTH","Q","2003-Q4",-0.3,
"JPN","CPI","TOT","AGRWTH","Q","2004-Q1",-0.1333333,
"JPN","CPI","TOT","AGRWTH","Q","2004-Q2",-0.3,
"JPN","CPI","TOT","AGRWTH","Q","2004-Q3",-0.1,
"JPN","CPI","TOT","AGRWTH","Q","2004-Q4",0.5,
"JPN","CPI","TOT","AGRWTH","Q","2005-Q1",-0.2,
"JPN","CPI","TOT","AGRWTH","Q","2005-Q2",-0.1,
"JPN","CPI","TOT","AGRWTH","Q","2005-Q3",-0.3,
"JPN","CPI","TOT","AGRWTH","Q","2005-Q4",-0.5333334,
"JPN","CPI","TOT","AGRWTH","Q","2006-Q1",-0.1333333,
"JPN","CPI","TOT","AGRWTH","Q","2006-Q2",0.1666667,
"JPN","CPI","TOT","AGRWTH","Q","2006-Q3",0.6,
"JPN","CPI","TOT","AGRWTH","Q","2006-Q4",0.3333333,
"JPN","CPI","TOT","AGRWTH","Q","2007-Q1",-0.1,
"JPN","CPI","TOT","AGRWTH","Q","2007-Q2",-0.06666667,
"JPN","CPI","TOT","AGRWTH","Q","2007-Q3",-0.1333333,
"JPN","CPI","TOT","AGRWTH","Q","2007-Q4",0.5333334,
"JPN","CPI","TOT","AGRWTH","Q","2008-Q1",0.9666666,
"JPN","CPI","TOT","AGRWTH","Q","2008-Q2",1.366667,
"JPN","CPI","TOT","AGRWTH","Q","2008-Q3",2.166667,
"JPN","CPI","TOT","AGRWTH","Q","2008-Q4",1.033333,
"JPN","CPI","TOT","AGRWTH","Q","2009-Q1",-0.1333333,
"JPN","CPI","TOT","AGRWTH","Q","2009-Q2",-1,
"JPN","CPI","TOT","AGRWTH","Q","2009-Q3",-2.2,
"JPN","CPI","TOT","AGRWTH","Q","2009-Q4",-2.033333,
"JPN","CPI","TOT","AGRWTH","Q","2010-Q1",-1.166667,
"JPN","CPI","TOT","AGRWTH","Q","2010-Q2",-0.9333333,
"JPN","CPI","TOT","AGRWTH","Q","2010-Q3",-0.8,
"JPN","CPI","TOT","AGRWTH","Q","2010-Q4",0.1,
"JPN","CPI","TOT","AGRWTH","Q","2011-Q1",-0.5333334,
"JPN","CPI","TOT","AGRWTH","Q","2011-Q2",-0.4,
"JPN","CPI","TOT","AGRWTH","Q","2011-Q3",0.1333333,
"JPN","CPI","TOT","AGRWTH","Q","2011-Q4",-0.3,
"JPN","CPI","TOT","AGRWTH","Q","2012-Q1",0.3,
"JPN","CPI","TOT","AGRWTH","Q","2012-Q2",0.1333333,
"JPN","CPI","TOT","AGRWTH","Q","2012-Q3",-0.3666667,
"JPN","CPI","TOT","AGRWTH","Q","2012-Q4",-0.2333333,
"JPN","CPI","TOT","AGRWTH","Q","2013-Q1",-0.6333333,
"JPN","CPI","TOT","AGRWTH","Q","2013-Q2",-0.2666667,
"JPN","CPI","TOT","AGRWTH","Q","2013-Q3",0.9,
"JPN","CPI","TOT","AGRWTH","Q","2013-Q4",1.4,
"JPN","CPI","TOT","AGRWTH","Q","2014-Q1",1.5,
"JPN","CPI","TOT","AGRWTH","Q","2014-Q2",3.566667,
"JPN","CPI","TOT","AGRWTH","Q","2014-Q3",3.3,
"JPN","CPI","TOT","AGRWTH","Q","2014-Q4",2.566667,
"JPN","CPI","TOT","AGRWTH","Q","2015-Q1",2.3,
"JPN","CPI","TOT","AGRWTH","Q","2015-Q2",0.5,
"JPN","CPI","TOT","AGRWTH","Q","2015-Q3",0.1333333,
"JPN","CPI","TOT","AGRWTH","Q","2015-Q4",0.2666667,
"JPN","CPI","TOT","AGRWTH","Q","2016-Q1",0.03333334,
"JPN","CPI","TOT","AGRWTH","Q","2016-Q2",-0.4,
"JPN","CPI","TOT","AGRWTH","Q","2016-Q3",-0.4666667,
"JPN","CPI","TOT","AGRWTH","Q","2016-Q4",0.3,
"JPN","CPI","TOT","AGRWTH","Q","2017-Q1",0.3,
"JPN","CPI","TOT","AGRWTH","Q","2017-Q2",0.4,
"JPN","CPI","TOT","AGRWTH","Q","2017-Q3",0.6,
"JPN","CPI","TOT","AGRWTH","Q","2017-Q4",0.6,
"JPN","CPI","TOT","AGRWTH","Q","2018-Q1",1.333333,
"JPN","CPI","TOT","AGRWTH","Q","2018-Q2",0.6666667,
"JPN","CPI","TOT","AGRWTH","Q","2018-Q3",1.133333,
"JPN","CPI","TOT","AGRWTH","Q","2018-Q4",0.8333333,
"JPN","CPI","TOT","AGRWTH","Q","2019-Q1",0.3,
"JPN","CPI","TOT","AGRWTH","Q","2019-Q2",0.7666667,
"JPN","CPI","TOT","AGRWTH","Q","2019-Q3",0.3333333,
"JPN","CPI","TOT","AGRWTH","Q","2019-Q4",0.5,
"JPN","CPI","TOT","AGRWTH","Q","2020-Q1",0.5,
"JPN","CPI","TOT","AGRWTH","Q","2020-Q2",0.1,
