"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","QGDP","VOLIDX","IDX","Q","2000-Q1",89.180034538,
"JPN","QGDP","VOLIDX","IDX","Q","2000-Q2",89.601179153,
"JPN","QGDP","VOLIDX","IDX","Q","2000-Q3",89.622960252,
"JPN","QGDP","VOLIDX","IDX","Q","2000-Q4",90.496471536,
"JPN","QGDP","VOLIDX","IDX","Q","2001-Q1",91.165385447,
"JPN","QGDP","VOLIDX","IDX","Q","2001-Q2",90.484633174,
"JPN","QGDP","VOLIDX","IDX","Q","2001-Q3",89.497533086,
"JPN","QGDP","VOLIDX","IDX","Q","2001-Q4",89.190553396,
"JPN","QGDP","VOLIDX","IDX","Q","2002-Q1",89.342147616,
"JPN","QGDP","VOLIDX","IDX","Q","2002-Q2",90.065625783,
"JPN","QGDP","VOLIDX","IDX","Q","2002-Q3",90.349207517,
"JPN","QGDP","VOLIDX","IDX","Q","2002-Q4",90.600173357,
"JPN","QGDP","VOLIDX","IDX","Q","2003-Q1",90.657302281,
"JPN","QGDP","VOLIDX","IDX","Q","2003-Q2",91.278249454,
"JPN","QGDP","VOLIDX","IDX","Q","2003-Q3",91.54817154,
"JPN","QGDP","VOLIDX","IDX","Q","2003-Q4",92.548150725,
"JPN","QGDP","VOLIDX","IDX","Q","2004-Q1",93.225799377,
"JPN","QGDP","VOLIDX","IDX","Q","2004-Q2",93.237173126,
"JPN","QGDP","VOLIDX","IDX","Q","2004-Q3",93.809224333,
"JPN","QGDP","VOLIDX","IDX","Q","2004-Q4",93.634510925,
"JPN","QGDP","VOLIDX","IDX","Q","2005-Q1",94.113936707,
"JPN","QGDP","VOLIDX","IDX","Q","2005-Q2",94.840369818,
"JPN","QGDP","VOLIDX","IDX","Q","2005-Q3",95.805075516,
"JPN","QGDP","VOLIDX","IDX","Q","2005-Q4",95.977707454,
"JPN","QGDP","VOLIDX","IDX","Q","2006-Q1",96.12634673,
"JPN","QGDP","VOLIDX","IDX","Q","2006-Q2",96.267830952,
"JPN","QGDP","VOLIDX","IDX","Q","2006-Q3",96.081520782,
"JPN","QGDP","VOLIDX","IDX","Q","2006-Q4",97.383331735,
"JPN","QGDP","VOLIDX","IDX","Q","2007-Q1",98.026431698,
"JPN","QGDP","VOLIDX","IDX","Q","2007-Q2",98.050089838,
"JPN","QGDP","VOLIDX","IDX","Q","2007-Q3",97.524351343,
"JPN","QGDP","VOLIDX","IDX","Q","2007-Q4",97.957222813,
"JPN","QGDP","VOLIDX","IDX","Q","2008-Q1",98.30889836,
"JPN","QGDP","VOLIDX","IDX","Q","2008-Q2",97.715512083,
"JPN","QGDP","VOLIDX","IDX","Q","2008-Q3",96.507608889,
"JPN","QGDP","VOLIDX","IDX","Q","2008-Q4",94.13826389,
"JPN","QGDP","VOLIDX","IDX","Q","2009-Q1",89.614504279,
"JPN","QGDP","VOLIDX","IDX","Q","2009-Q2",91.346975141,
"JPN","QGDP","VOLIDX","IDX","Q","2009-Q3",91.311348547,
"JPN","QGDP","VOLIDX","IDX","Q","2009-Q4",92.45634302,
"JPN","QGDP","VOLIDX","IDX","Q","2010-Q1",93.429430354,
"JPN","QGDP","VOLIDX","IDX","Q","2010-Q2",94.532795422,
"JPN","QGDP","VOLIDX","IDX","Q","2010-Q3",96.252201341,
"JPN","QGDP","VOLIDX","IDX","Q","2010-Q4",95.474140334,
"JPN","QGDP","VOLIDX","IDX","Q","2011-Q1",94.470518576,
"JPN","QGDP","VOLIDX","IDX","Q","2011-Q2",93.641127027,
"JPN","QGDP","VOLIDX","IDX","Q","2011-Q3",95.921582096,
"JPN","QGDP","VOLIDX","IDX","Q","2011-Q4",95.790858331,
"JPN","QGDP","VOLIDX","IDX","Q","2012-Q1",97.12108507,
"JPN","QGDP","VOLIDX","IDX","Q","2012-Q2",96.229695444,
"JPN","QGDP","VOLIDX","IDX","Q","2012-Q3",95.869099311,
"JPN","QGDP","VOLIDX","IDX","Q","2012-Q4",95.798701014,
"JPN","QGDP","VOLIDX","IDX","Q","2013-Q1",97.127831264,
"JPN","QGDP","VOLIDX","IDX","Q","2013-Q2",98.002364699,
"JPN","QGDP","VOLIDX","IDX","Q","2013-Q3",98.943579519,
"JPN","QGDP","VOLIDX","IDX","Q","2013-Q4",98.817836416,
"JPN","QGDP","VOLIDX","IDX","Q","2014-Q1",99.628383225,
"JPN","QGDP","VOLIDX","IDX","Q","2014-Q2",97.830903589,
"JPN","QGDP","VOLIDX","IDX","Q","2014-Q3",97.912731387,
"JPN","QGDP","VOLIDX","IDX","Q","2014-Q4",98.363221016,
"JPN","QGDP","VOLIDX","IDX","Q","2015-Q1",99.894328217,
"JPN","QGDP","VOLIDX","IDX","Q","2015-Q2",100.031352145,
"JPN","QGDP","VOLIDX","IDX","Q","2015-Q3",100.128790971,
"JPN","QGDP","VOLIDX","IDX","Q","2015-Q4",99.9592069,
"JPN","QGDP","VOLIDX","IDX","Q","2016-Q1",100.705228133,
"JPN","QGDP","VOLIDX","IDX","Q","2016-Q2",100.546962057,
"JPN","QGDP","VOLIDX","IDX","Q","2016-Q3",100.747303567,
"JPN","QGDP","VOLIDX","IDX","Q","2016-Q4",100.898600434,
"JPN","QGDP","VOLIDX","IDX","Q","2017-Q1",101.718272261,
"JPN","QGDP","VOLIDX","IDX","Q","2017-Q2",102.070319498,
"JPN","QGDP","VOLIDX","IDX","Q","2017-Q3",102.936619975,
"JPN","QGDP","VOLIDX","IDX","Q","2017-Q4",103.054929256,
"JPN","QGDP","VOLIDX","IDX","Q","2018-Q1",103.153613246,
"JPN","QGDP","VOLIDX","IDX","Q","2018-Q2",103.466670086,
"JPN","QGDP","VOLIDX","IDX","Q","2018-Q3",102.948049477,
"JPN","QGDP","VOLIDX","IDX","Q","2018-Q4",102.809427276,
"JPN","QGDP","VOLIDX","IDX","Q","2019-Q1",103.028576356,
"JPN","QGDP","VOLIDX","IDX","Q","2019-Q2",103.360849626,
"JPN","QGDP","VOLIDX","IDX","Q","2019-Q3",103.600255872,
"JPN","QGDP","VOLIDX","IDX","Q","2019-Q4",100.758082609,
"JPN","QGDP","VOLIDX","IDX","Q","2020-Q1",101.179524577,
"JPN","QGDP","VOLIDX","IDX","Q","2020-Q2",93.14185294,
"JPN","QGDP","VOLIDX","IDX","Q","2020-Q3",98.384444578,
"JPN","QGDP","VOLIDX","IDX","Q","2020-Q4",100.235912349,
"JPN","QGDP","VOLIDX","IDX","Q","2021-Q1",100.070435466,
"JPN","QGDP","VOLIDX","IDX","Q","2021-Q2",100.418152502,
"JPN","QGDP","VOLIDX","IDX","Q","2021-Q3",100.058504181,
"JPN","QGDP","VOLIDX","IDX","Q","2021-Q4",101.170009285,
"JPN","QGDP","VOLIDX","IDX","Q","2022-Q1",100.699225321,
"JPN","QGDP","VOLIDX","IDX","Q","2022-Q2",101.857359075,
"JPN","QGDP","VOLIDX","IDX","Q","2022-Q3",101.584574967,
"JPN","QGDP","VOLIDX","IDX","Q","2022-Q4",101.60828886,
"USA","QGDP","VOLIDX","IDX","Q","2000-Q1",74.382014877,
"USA","QGDP","VOLIDX","IDX","Q","2000-Q2",75.736201201,
"USA","QGDP","VOLIDX","IDX","Q","2000-Q3",75.811766336,
"USA","QGDP","VOLIDX","IDX","Q","2000-Q4",76.262362481,
"USA","QGDP","VOLIDX","IDX","Q","2001-Q1",76.015103884,
"USA","QGDP","VOLIDX","IDX","Q","2001-Q2",76.487453541,
"USA","QGDP","VOLIDX","IDX","Q","2001-Q3",76.181236773,
"USA","QGDP","VOLIDX","IDX","Q","2001-Q4",76.392498281,
"USA","QGDP","VOLIDX","IDX","Q","2002-Q1",77.025201743,
"USA","QGDP","VOLIDX","IDX","Q","2002-Q2",77.499293751,
"USA","QGDP","VOLIDX","IDX","Q","2002-Q3",77.812025647,
"USA","QGDP","VOLIDX","IDX","Q","2002-Q4",77.913691546,
"USA","QGDP","VOLIDX","IDX","Q","2003-Q1",78.316289656,
"USA","QGDP","VOLIDX","IDX","Q","2003-Q2",79.015950002,
"USA","QGDP","VOLIDX","IDX","Q","2003-Q3",80.333063925,
"USA","QGDP","VOLIDX","IDX","Q","2003-Q4",81.260144218,
"USA","QGDP","VOLIDX","IDX","Q","2004-Q1",81.72569698,
"USA","QGDP","VOLIDX","IDX","Q","2004-Q2",82.362126658,
"USA","QGDP","VOLIDX","IDX","Q","2004-Q3",83.137357889,
"USA","QGDP","VOLIDX","IDX","Q","2004-Q4",83.987044441,
"USA","QGDP","VOLIDX","IDX","Q","2005-Q1",84.920041826,
"USA","QGDP","VOLIDX","IDX","Q","2005-Q2",85.333266553,
"USA","QGDP","VOLIDX","IDX","Q","2005-Q3",86.003663451,
"USA","QGDP","VOLIDX","IDX","Q","2005-Q4",86.492102542,
"USA","QGDP","VOLIDX","IDX","Q","2006-Q1",87.658592225,
"USA","QGDP","VOLIDX","IDX","Q","2006-Q2",87.873867466,
"USA","QGDP","VOLIDX","IDX","Q","2006-Q3",88.006079138,
"USA","QGDP","VOLIDX","IDX","Q","2006-Q4",88.748596721,
"USA","QGDP","VOLIDX","IDX","Q","2007-Q1",89.00916159,
"USA","QGDP","VOLIDX","IDX","Q","2007-Q2",89.577426812,
"USA","QGDP","VOLIDX","IDX","Q","2007-Q3",90.116957617,
"USA","QGDP","VOLIDX","IDX","Q","2007-Q4",90.666350245,
"USA","QGDP","VOLIDX","IDX","Q","2008-Q1",90.296948811,
"USA","QGDP","VOLIDX","IDX","Q","2008-Q2",90.813714045,
"USA","QGDP","VOLIDX","IDX","Q","2008-Q3",90.335223032,
"USA","QGDP","VOLIDX","IDX","Q","2008-Q4",88.363117354,
"USA","QGDP","VOLIDX","IDX","Q","2009-Q1",87.333048586,
"USA","QGDP","VOLIDX","IDX","Q","2009-Q2",87.185247761,
"USA","QGDP","VOLIDX","IDX","Q","2009-Q3",87.50079732,
"USA","QGDP","VOLIDX","IDX","Q","2009-Q4",88.435272541,
"USA","QGDP","VOLIDX","IDX","Q","2010-Q1",88.8774962,
"USA","QGDP","VOLIDX","IDX","Q","2010-Q2",89.737567854,
"USA","QGDP","VOLIDX","IDX","Q","2010-Q3",90.431368611,
"USA","QGDP","VOLIDX","IDX","Q","2010-Q4",90.901245624,
"USA","QGDP","VOLIDX","IDX","Q","2011-Q1",90.682249918,
"USA","QGDP","VOLIDX","IDX","Q","2011-Q2",91.297121594,
"USA","QGDP","VOLIDX","IDX","Q","2011-Q3",91.261728291,
"USA","QGDP","VOLIDX","IDX","Q","2011-Q4",92.285391187,
"USA","QGDP","VOLIDX","IDX","Q","2012-Q1",93.040214484,
"USA","QGDP","VOLIDX","IDX","Q","2012-Q2",93.464347594,
"USA","QGDP","VOLIDX","IDX","Q","2012-Q3",93.627800828,
"USA","QGDP","VOLIDX","IDX","Q","2012-Q4",93.730639795,
"USA","QGDP","VOLIDX","IDX","Q","2013-Q1",94.54402449,
"USA","QGDP","VOLIDX","IDX","Q","2013-Q2",94.675804886,
"USA","QGDP","VOLIDX","IDX","Q","2013-Q3",95.425309125,
"USA","QGDP","VOLIDX","IDX","Q","2013-Q4",96.103946251,
"USA","QGDP","VOLIDX","IDX","Q","2014-Q1",95.767476978,
"USA","QGDP","VOLIDX","IDX","Q","2014-Q2",96.997254834,
"USA","QGDP","VOLIDX","IDX","Q","2014-Q3",98.127235649,
"USA","QGDP","VOLIDX","IDX","Q","2014-Q4",98.567820463,
"USA","QGDP","VOLIDX","IDX","Q","2015-Q1",99.369485978,
"USA","QGDP","VOLIDX","IDX","Q","2015-Q2",99.945830419,
"USA","QGDP","VOLIDX","IDX","Q","2015-Q3",100.269027922,
"USA","QGDP","VOLIDX","IDX","Q","2015-Q4",100.41565568,
"USA","QGDP","VOLIDX","IDX","Q","2016-Q1",101.007284508,
"USA","QGDP","VOLIDX","IDX","Q","2016-Q2",101.312719231,
"USA","QGDP","VOLIDX","IDX","Q","2016-Q3",101.921725567,
"USA","QGDP","VOLIDX","IDX","Q","2016-Q4",102.428163202,
"USA","QGDP","VOLIDX","IDX","Q","2017-Q1",102.868259238,
"USA","QGDP","VOLIDX","IDX","Q","2017-Q2",103.386502308,
"USA","QGDP","VOLIDX","IDX","Q","2017-Q3",104.242013947,
"USA","QGDP","VOLIDX","IDX","Q","2017-Q4",105.290334274,
"USA","QGDP","VOLIDX","IDX","Q","2018-Q1",106.01963184,
"USA","QGDP","VOLIDX","IDX","Q","2018-Q2",106.758952238,
"USA","QGDP","VOLIDX","IDX","Q","2018-Q3",107.529790214,
"USA","QGDP","VOLIDX","IDX","Q","2018-Q4",107.725261306,
"USA","QGDP","VOLIDX","IDX","Q","2019-Q1",108.309897729,
"USA","QGDP","VOLIDX","IDX","Q","2019-Q2",109.038833024,
"USA","QGDP","VOLIDX","IDX","Q","2019-Q3",110.00924208,
"USA","QGDP","VOLIDX","IDX","Q","2019-Q4",110.49663461,
"USA","QGDP","VOLIDX","IDX","Q","2020-Q1",109.198128767,
"USA","QGDP","VOLIDX","IDX","Q","2020-Q2",99.933392448,
"USA","QGDP","VOLIDX","IDX","Q","2020-Q3",107.782643886,
"USA","QGDP","VOLIDX","IDX","Q","2020-Q4",108.820820624,
"USA","QGDP","VOLIDX","IDX","Q","2021-Q1",110.499699538,
"USA","QGDP","VOLIDX","IDX","Q","2021-Q2",112.385946984,
"USA","QGDP","VOLIDX","IDX","Q","2021-Q3",113.123979307,
"USA","QGDP","VOLIDX","IDX","Q","2021-Q4",115.042215859,
"USA","QGDP","VOLIDX","IDX","Q","2022-Q1",114.570153718,
"USA","QGDP","VOLIDX","IDX","Q","2022-Q2",114.404446353,
"USA","QGDP","VOLIDX","IDX","Q","2022-Q3",115.321003535,
"USA","QGDP","VOLIDX","IDX","Q","2022-Q4",116.084831855,
