"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2023","3,960.28","3,821.90","3,964.75","3,810.54","","2.56%"
"03/05/2023","3,861.59","4,054.18","4,078.60","3,845.20","","-4.55%"
"02/26/2023","4,045.64","4,005.60","4,048.61","3,926.71","","1.90%"
"02/19/2023","3,970.04","4,038.48","4,046.98","3,942.86","","-2.67%"
"02/12/2023","4,079.09","4,097.78","4,159.93","4,047.95","","-0.28%"
"02/05/2023","4,090.46","4,109.85","4,177.10","4,060.58","","-1.11%"
"01/29/2023","4,136.48","4,039.53","4,195.34","4,015.70","","1.62%"
"01/22/2023","4,070.56","3,980.60","4,094.32","3,949.00","","2.47%"
"01/15/2023","3,972.61","3,999.63","4,015.63","3,885.30","","-0.66%"
"01/08/2023","3,999.09","3,917.80","4,004.20","3,876.40","","2.67%"
"01/01/2023","3,895.08","3,858.38","3,907.00","3,793.67","","1.45%"
"12/25/2022","3,839.50","3,845.30","3,858.31","3,780.20","","-0.14%"
"12/18/2022","3,844.82","3,851.34","3,890.80","3,764.14","","-0.20%"
"12/11/2022","3,852.36","3,943.00","4,103.05","3,826.10","","-2.08%"
"12/04/2022","3,934.38","4,042.00","4,051.75","3,918.40","","-3.37%"
"11/27/2022","4,071.70","3,994.60","4,099.40","3,937.50","","1.13%"
"11/20/2022","4,026.12","3,953.69","4,034.00","3,932.55","","1.53%"
"11/13/2022","3,965.34","3,973.63","4,029.99","3,906.26","","-0.69%"
"11/06/2022","3,992.93","3,786.60","4,001.60","3,743.85","","5.90%"
"10/30/2022","3,770.55","3,873.55","3,913.62","3,695.60","","-3.35%"
"10/23/2022","3,901.06","3,770.75","3,906.05","3,741.38","","3.95%"
"10/16/2022","3,752.75","3,652.35","3,764.55","3,646.34","","4.74%"
"10/09/2022","3,583.07","3,651.20","3,711.73","3,490.00","","-1.55%"
"10/02/2022","3,639.66","3,624.07","3,807.35","3,605.60","","1.51%"
"09/25/2022","3,585.62","3,677.70","3,736.65","3,585.40","","-2.91%"
"09/18/2022","3,693.23","3,838.00","3,907.68","3,646.35","","-4.65%"
"09/11/2022","3,873.33","4,089.90","4,119.69","3,836.15","","-4.77%"
"09/04/2022","4,067.36","3,935.35","4,077.00","3,887.33","","3.65%"
"08/28/2022","3,924.26","4,026.84","4,063.55","3,903.00","","-3.29%"
"08/21/2022","4,057.66","4,176.67","4,204.63","4,057.66","","-4.04%"
"08/14/2022","4,228.48","4,256.53","4,325.50","4,218.60","","-1.21%"
"08/07/2022","4,280.15","4,162.69","4,280.15","4,111.49","","3.26%"
"07/31/2022","4,145.19","4,103.38","4,167.63","4,080.38","","0.36%"
"07/24/2022","4,130.29","3,969.80","4,140.00","3,910.40","","4.26%"
"07/17/2022","3,961.63","3,895.50","4,013.12","3,818.76","","2.55%"
"07/10/2022","3,863.16","3,870.40","3,881.22","3,720.25","","-0.93%"
"07/03/2022","3,899.38","3,772.00","3,918.25","3,740.80","","1.94%"
"06/26/2022","3,825.33","3,924.60","3,945.98","3,736.58","","-2.21%"
"06/19/2022","3,911.74","3,732.13","3,912.87","3,716.13","","6.45%"
"06/12/2022","3,674.84","3,800.54","3,837.97","3,636.82","","-5.79%"
"06/05/2022","3,900.86","4,152.40","4,169.04","3,900.01","","-5.05%"
"05/29/2022","4,108.54","4,139.15","4,177.60","4,073.60","","-1.20%"
"05/22/2022","4,158.24","3,933.89","4,158.29","3,874.77","","6.58%"
"05/15/2022","3,901.36","4,009.20","4,091.10","3,810.50","","-3.05%"
"05/08/2022","4,023.89","4,061.09","4,074.06","3,858.80","","-2.41%"
"05/01/2022","4,123.34","4,132.70","4,307.90","4,062.09","","-0.21%"
"04/24/2022","4,131.93","4,247.36","4,308.50","4,123.87","","-3.27%"
"04/17/2022","4,271.78","4,384.30","4,512.94","4,268.10","","-2.75%"
"04/10/2022","4,392.59","4,458.80","4,471.67","4,381.09","","-2.13%"
"04/03/2022","4,488.28","4,546.50","4,593.90","4,450.00","","-1.27%"
"03/27/2022","4,545.86","4,536.73","4,637.90","4,507.20","","0.06%"
"03/20/2022","4,543.04","4,462.24","4,546.07","4,423.90","","1.79%"
